CMDLINE python3 mongo.py
MEM 29.585938 1524473610.7391
MEM 29.585938 1524473610.8396
MEM 29.585938 1524473610.9400
MEM 29.585938 1524473611.0404
MEM 29.585938 1524473611.1409
MEM 29.585938 1524473611.2413
MEM 29.585938 1524473611.3417
MEM 29.585938 1524473611.4422
MEM 29.585938 1524473611.5426
MEM 29.585938 1524473611.6430
MEM 29.585938 1524473611.7434
MEM 29.585938 1524473611.8438
MEM 29.585938 1524473611.9443
MEM 29.585938 1524473612.0447
MEM 29.585938 1524473612.1451
MEM 29.585938 1524473612.2455
MEM 29.585938 1524473612.3459
MEM 29.585938 1524473612.4463
MEM 29.585938 1524473612.5467
MEM 29.585938 1524473612.6471
MEM 29.585938 1524473612.7475
MEM 29.585938 1524473612.8480
MEM 29.585938 1524473612.9484
MEM 29.585938 1524473613.0488
MEM 29.585938 1524473613.1492
MEM 29.585938 1524473613.2497
MEM 29.585938 1524473613.3501
MEM 29.585938 1524473613.4505
MEM 29.585938 1524473613.5510
MEM 29.585938 1524473613.6514
MEM 29.585938 1524473613.7518
MEM 29.585938 1524473613.8522
MEM 29.585938 1524473613.9526
MEM 29.585938 1524473614.0530
MEM 29.585938 1524473614.1535
MEM 29.585938 1524473614.2539
MEM 29.585938 1524473614.3543
MEM 29.585938 1524473614.4547
MEM 29.585938 1524473614.5551
MEM 29.585938 1524473614.6555
MEM 29.585938 1524473614.7560
MEM 29.585938 1524473614.8564
MEM 29.585938 1524473614.9569
MEM 29.585938 1524473615.0573
MEM 29.585938 1524473615.1577
MEM 29.585938 1524473615.2582
MEM 29.585938 1524473615.3586
MEM 29.585938 1524473615.4590
MEM 29.585938 1524473615.5596
MEM 29.585938 1524473615.6600
MEM 29.585938 1524473615.7604
MEM 29.585938 1524473615.8611
MEM 29.585938 1524473615.9616
MEM 29.585938 1524473616.0620
MEM 29.585938 1524473616.1624
MEM 29.585938 1524473616.2628
MEM 29.585938 1524473616.3632
MEM 29.585938 1524473616.4636
MEM 29.585938 1524473616.5640
MEM 29.585938 1524473616.6644
MEM 29.585938 1524473616.7649
MEM 29.585938 1524473616.8653
MEM 29.585938 1524473616.9657
MEM 29.585938 1524473617.0661
MEM 29.585938 1524473617.1666
MEM 29.585938 1524473617.2670
MEM 29.585938 1524473617.3674
MEM 29.585938 1524473617.4678
MEM 29.585938 1524473617.5682
MEM 29.585938 1524473617.6686
MEM 29.585938 1524473617.7690
MEM 29.585938 1524473617.8694
MEM 29.585938 1524473617.9698
MEM 29.585938 1524473618.0702
MEM 29.585938 1524473618.1707
MEM 29.585938 1524473618.2711
MEM 29.585938 1524473618.3715
MEM 29.585938 1524473618.4719
MEM 29.585938 1524473618.5723
MEM 29.585938 1524473618.6728
MEM 29.585938 1524473618.7732
MEM 29.585938 1524473618.8736
MEM 29.585938 1524473618.9741
MEM 29.585938 1524473619.0745
MEM 29.585938 1524473619.1749
MEM 29.585938 1524473619.2754
MEM 29.585938 1524473619.3758
MEM 29.585938 1524473619.4762
MEM 29.585938 1524473619.5766
MEM 29.585938 1524473619.6770
MEM 29.585938 1524473619.7774
MEM 29.585938 1524473619.8778
MEM 29.585938 1524473619.9783
MEM 29.585938 1524473620.0787
MEM 29.585938 1524473620.1791
MEM 29.585938 1524473620.2796
MEM 29.585938 1524473620.3800
MEM 29.585938 1524473620.4804
MEM 29.585938 1524473620.5808
MEM 29.585938 1524473620.6812
MEM 29.585938 1524473620.7817
MEM 29.585938 1524473620.8821
MEM 29.585938 1524473620.9825
MEM 29.585938 1524473621.0829
MEM 29.585938 1524473621.1834
MEM 29.585938 1524473621.2838
MEM 29.585938 1524473621.3842
MEM 29.585938 1524473621.4846
MEM 29.585938 1524473621.5851
MEM 29.585938 1524473621.6855
MEM 29.585938 1524473621.7860
MEM 29.585938 1524473621.8864
MEM 29.585938 1524473621.9868
MEM 29.585938 1524473622.0872
MEM 29.585938 1524473622.1876
MEM 29.585938 1524473622.2880
MEM 29.585938 1524473622.3884
MEM 29.585938 1524473622.4887
MEM 29.585938 1524473622.5891
MEM 29.585938 1524473622.6896
MEM 29.585938 1524473622.7900
MEM 29.585938 1524473622.8904
MEM 29.585938 1524473622.9908
MEM 29.585938 1524473623.0913
MEM 29.585938 1524473623.1918
MEM 29.585938 1524473623.2922
MEM 29.585938 1524473623.3926
MEM 29.585938 1524473623.4930
MEM 29.585938 1524473623.5935
MEM 29.585938 1524473623.6939
MEM 29.585938 1524473623.7943
MEM 29.585938 1524473623.8948
MEM 29.585938 1524473623.9952
MEM 29.585938 1524473624.0957
MEM 29.585938 1524473624.1961
MEM 29.585938 1524473624.2965
MEM 29.585938 1524473624.3969
MEM 29.585938 1524473624.4973
MEM 29.585938 1524473624.5977
MEM 29.585938 1524473624.6981
MEM 29.585938 1524473624.7986
MEM 29.585938 1524473624.8990
MEM 29.585938 1524473624.9994
MEM 29.585938 1524473625.0999
MEM 29.585938 1524473625.2003
MEM 29.585938 1524473625.3007
MEM 29.585938 1524473625.4011
MEM 29.585938 1524473625.5016
MEM 29.585938 1524473625.6020
MEM 29.585938 1524473625.7023
MEM 29.585938 1524473625.8028
MEM 29.585938 1524473625.9032
MEM 29.585938 1524473626.0037
MEM 29.585938 1524473626.1041
MEM 29.585938 1524473626.2045
MEM 29.585938 1524473626.3049
MEM 29.585938 1524473626.4053
MEM 29.585938 1524473626.5057
MEM 29.585938 1524473626.6061
MEM 29.585938 1524473626.7066
MEM 29.585938 1524473626.8070
MEM 29.585938 1524473626.9074
MEM 29.585938 1524473627.0078
MEM 29.585938 1524473627.1082
MEM 29.585938 1524473627.2087
MEM 29.585938 1524473627.3091
MEM 29.585938 1524473627.4095
MEM 29.585938 1524473627.5100
MEM 29.585938 1524473627.6104
MEM 29.585938 1524473627.7108
MEM 29.585938 1524473627.8113
MEM 29.585938 1524473627.9117
MEM 29.585938 1524473628.0122
MEM 29.585938 1524473628.1127
MEM 29.585938 1524473628.2132
MEM 29.585938 1524473628.3136
MEM 29.585938 1524473628.4141
MEM 29.585938 1524473628.5146
MEM 29.585938 1524473628.6151
MEM 29.585938 1524473628.7156
MEM 29.585938 1524473628.8160
MEM 29.585938 1524473628.9165
MEM 29.585938 1524473629.0169
MEM 29.585938 1524473629.1174
MEM 29.585938 1524473629.2177
MEM 29.585938 1524473629.3181
MEM 29.585938 1524473629.4185
MEM 29.585938 1524473629.5190
MEM 29.585938 1524473629.6194
MEM 29.585938 1524473629.7197
MEM 29.585938 1524473629.8201
MEM 29.585938 1524473629.9205
MEM 29.585938 1524473630.0210
MEM 29.585938 1524473630.1215
MEM 29.585938 1524473630.2219
MEM 29.585938 1524473630.3224
MEM 29.585938 1524473630.4230
MEM 29.585938 1524473630.5235
MEM 29.585938 1524473630.6239
MEM 29.585938 1524473630.7244
MEM 29.585938 1524473630.8248
MEM 29.585938 1524473630.9252
MEM 29.585938 1524473631.0256
MEM 29.585938 1524473631.1260
MEM 29.585938 1524473631.2264
MEM 29.585938 1524473631.3268
MEM 29.585938 1524473631.4272
MEM 29.585938 1524473631.5276
MEM 29.585938 1524473631.6280
MEM 29.585938 1524473631.7284
MEM 29.585938 1524473631.8289
MEM 29.585938 1524473631.9294
MEM 29.585938 1524473632.0299
MEM 29.585938 1524473632.1303
MEM 29.585938 1524473632.2308
MEM 29.585938 1524473632.3312
MEM 29.585938 1524473632.4315
MEM 29.585938 1524473632.5319
MEM 29.585938 1524473632.6323
MEM 29.585938 1524473632.7327
MEM 29.585938 1524473632.8331
MEM 29.585938 1524473632.9335
MEM 29.585938 1524473633.0340
MEM 29.585938 1524473633.1344
MEM 29.585938 1524473633.2349
MEM 29.585938 1524473633.3354
MEM 29.585938 1524473633.4358
MEM 29.585938 1524473633.5362
MEM 29.585938 1524473633.6367
MEM 29.585938 1524473633.7371
MEM 29.585938 1524473633.8376
MEM 29.585938 1524473633.9380
MEM 29.585938 1524473634.0386
MEM 29.585938 1524473634.1391
MEM 29.585938 1524473634.2395
MEM 29.585938 1524473634.3400
MEM 29.585938 1524473634.4405
MEM 29.585938 1524473634.5409
MEM 29.585938 1524473634.6414
MEM 29.585938 1524473634.7418
MEM 29.585938 1524473634.8423
MEM 29.585938 1524473634.9427
MEM 29.585938 1524473635.0432
MEM 29.585938 1524473635.1437
MEM 29.585938 1524473635.2441
MEM 29.585938 1524473635.3445
MEM 29.585938 1524473635.4449
MEM 29.585938 1524473635.5453
MEM 29.585938 1524473635.6458
MEM 29.585938 1524473635.7462
MEM 29.585938 1524473635.8466
MEM 29.585938 1524473635.9470
MEM 29.585938 1524473636.0475
MEM 29.585938 1524473636.1480
MEM 29.585938 1524473636.2485
MEM 29.585938 1524473636.3489
MEM 29.585938 1524473636.4494
MEM 29.585938 1524473636.5499
MEM 29.585938 1524473636.6503
MEM 29.585938 1524473636.7508
MEM 29.585938 1524473636.8512
MEM 29.585938 1524473636.9518
MEM 29.585938 1524473637.0522
MEM 29.585938 1524473637.1526
MEM 29.585938 1524473637.2533
MEM 29.585938 1524473637.3537
MEM 29.585938 1524473637.4541
MEM 29.585938 1524473637.5546
MEM 29.585938 1524473637.6550
MEM 29.585938 1524473637.7555
MEM 29.585938 1524473637.8559
MEM 29.585938 1524473637.9564
MEM 29.585938 1524473638.0569
MEM 29.585938 1524473638.1574
MEM 29.585938 1524473638.2578
MEM 29.585938 1524473638.3583
MEM 29.585938 1524473638.4587
MEM 29.585938 1524473638.5592
MEM 29.585938 1524473638.6597
MEM 29.585938 1524473638.7601
MEM 29.585938 1524473638.8605
MEM 29.585938 1524473638.9609
MEM 29.585938 1524473639.0613
MEM 29.585938 1524473639.1617
MEM 29.585938 1524473639.2620
MEM 29.585938 1524473639.3624
MEM 29.585938 1524473639.4628
MEM 29.585938 1524473639.5632
MEM 29.585938 1524473639.6636
MEM 29.585938 1524473639.7640
MEM 29.585938 1524473639.8644
MEM 29.585938 1524473639.9648
MEM 29.585938 1524473640.0652
MEM 29.585938 1524473640.1659
MEM 29.585938 1524473640.2664
MEM 29.585938 1524473640.3668
MEM 29.585938 1524473640.4672
MEM 29.585938 1524473640.5677
MEM 29.585938 1524473640.6681
MEM 29.585938 1524473640.7688
MEM 29.585938 1524473640.8693
MEM 29.585938 1524473640.9698
MEM 29.585938 1524473641.0702
MEM 29.585938 1524473641.1707
MEM 29.585938 1524473641.2712
MEM 29.585938 1524473641.3717
MEM 29.585938 1524473641.4722
MEM 29.585938 1524473641.5726
MEM 29.585938 1524473641.6731
MEM 29.585938 1524473641.7736
MEM 29.585938 1524473641.8741
MEM 29.585938 1524473641.9745
MEM 29.585938 1524473642.0750
MEM 29.585938 1524473642.1754
MEM 29.585938 1524473642.2759
MEM 29.585938 1524473642.3764
MEM 29.585938 1524473642.4768
MEM 29.585938 1524473642.5773
MEM 29.585938 1524473642.6777
MEM 29.585938 1524473642.7782
MEM 29.585938 1524473642.8786
MEM 29.585938 1524473642.9791
MEM 29.585938 1524473643.0795
MEM 29.585938 1524473643.1799
MEM 29.585938 1524473643.2804
MEM 29.585938 1524473643.3808
MEM 29.585938 1524473643.4813
MEM 29.585938 1524473643.5817
MEM 29.585938 1524473643.6821
MEM 29.585938 1524473643.7825
MEM 29.585938 1524473643.8829
MEM 29.585938 1524473643.9832
MEM 29.585938 1524473644.0836
MEM 29.585938 1524473644.1840
MEM 29.585938 1524473644.2844
MEM 29.585938 1524473644.3849
MEM 29.585938 1524473644.4852
MEM 29.585938 1524473644.5856
MEM 29.585938 1524473644.6861
MEM 29.585938 1524473644.7864
MEM 29.585938 1524473644.8868
MEM 29.585938 1524473644.9871
MEM 29.585938 1524473645.0875
MEM 29.585938 1524473645.1880
MEM 29.585938 1524473645.2884
MEM 29.585938 1524473645.3888
MEM 29.585938 1524473645.4892
MEM 29.585938 1524473645.5896
MEM 29.585938 1524473645.6899
MEM 29.585938 1524473645.7903
MEM 29.585938 1524473645.8907
MEM 29.585938 1524473645.9910
MEM 29.585938 1524473646.0914
MEM 29.585938 1524473646.1918
MEM 29.585938 1524473646.2922
MEM 29.585938 1524473646.3925
MEM 29.585938 1524473646.4929
MEM 29.585938 1524473646.5932
MEM 29.585938 1524473646.6936
MEM 29.585938 1524473646.7940
MEM 29.585938 1524473646.8944
MEM 29.585938 1524473646.9947
MEM 29.585938 1524473647.0951
MEM 29.585938 1524473647.1956
MEM 29.585938 1524473647.2960
MEM 29.585938 1524473647.3963
MEM 29.585938 1524473647.4967
MEM 29.585938 1524473647.5971
MEM 29.585938 1524473647.6974
MEM 29.585938 1524473647.7978
MEM 29.585938 1524473647.8983
MEM 29.585938 1524473647.9988
MEM 29.585938 1524473648.0992
MEM 29.585938 1524473648.1996
MEM 29.585938 1524473648.3001
MEM 29.585938 1524473648.4006
MEM 29.585938 1524473648.5010
MEM 29.585938 1524473648.6015
MEM 29.585938 1524473648.7019
MEM 29.585938 1524473648.8024
MEM 29.585938 1524473648.9029
MEM 29.585938 1524473649.0033
MEM 29.585938 1524473649.1037
MEM 29.585938 1524473649.2041
MEM 29.585938 1524473649.3046
MEM 29.585938 1524473649.4050
MEM 29.585938 1524473649.5055
MEM 29.585938 1524473649.6059
MEM 29.585938 1524473649.7064
MEM 29.585938 1524473649.8069
MEM 29.585938 1524473649.9072
MEM 29.585938 1524473650.0078
MEM 29.585938 1524473650.1082
MEM 29.585938 1524473650.2086
MEM 29.585938 1524473650.3090
MEM 29.585938 1524473650.4094
MEM 29.585938 1524473650.5099
MEM 29.585938 1524473650.6104
MEM 29.585938 1524473650.7108
MEM 29.585938 1524473650.8112
MEM 29.585938 1524473650.9116
MEM 29.585938 1524473651.0120
MEM 29.585938 1524473651.1124
MEM 29.585938 1524473651.2128
MEM 29.585938 1524473651.3132
MEM 29.585938 1524473651.4138
MEM 29.585938 1524473651.5142
MEM 29.585938 1524473651.6146
MEM 29.585938 1524473651.7150
MEM 29.585938 1524473651.8154
MEM 29.585938 1524473651.9158
MEM 29.585938 1524473652.0162
MEM 29.585938 1524473652.1166
MEM 29.585938 1524473652.2170
MEM 29.585938 1524473652.3176
MEM 29.585938 1524473652.4180
MEM 29.585938 1524473652.5185
MEM 29.585938 1524473652.6192
MEM 29.585938 1524473652.7196
MEM 29.585938 1524473652.8200
MEM 29.585938 1524473652.9204
MEM 29.585938 1524473653.0209
MEM 29.585938 1524473653.1213
MEM 29.585938 1524473653.2217
MEM 29.585938 1524473653.3221
MEM 29.585938 1524473653.4225
MEM 29.585938 1524473653.5229
MEM 29.585938 1524473653.6234
MEM 29.585938 1524473653.7238
MEM 29.585938 1524473653.8243
MEM 29.585938 1524473653.9248
MEM 29.585938 1524473654.0252
MEM 29.585938 1524473654.1258
MEM 29.585938 1524473654.2262
MEM 29.585938 1524473654.3267
MEM 29.585938 1524473654.4272
MEM 29.585938 1524473654.5276
MEM 29.585938 1524473654.6281
MEM 29.585938 1524473654.7285
MEM 29.585938 1524473654.8290
MEM 29.585938 1524473654.9294
MEM 29.585938 1524473655.0299
MEM 29.585938 1524473655.1303
MEM 29.585938 1524473655.2309
MEM 29.585938 1524473655.3314
MEM 29.585938 1524473655.4318
MEM 29.585938 1524473655.5323
MEM 29.585938 1524473655.6327
MEM 29.585938 1524473655.7332
MEM 29.585938 1524473655.8336
MEM 29.585938 1524473655.9341
MEM 29.585938 1524473656.0346
MEM 29.585938 1524473656.1351
MEM 29.585938 1524473656.2356
MEM 29.585938 1524473656.3361
MEM 29.585938 1524473656.4366
MEM 29.585938 1524473656.5370
MEM 29.585938 1524473656.6375
MEM 29.585938 1524473656.7379
MEM 29.585938 1524473656.8384
MEM 29.585938 1524473656.9388
MEM 29.585938 1524473657.0393
MEM 29.585938 1524473657.1398
MEM 29.585938 1524473657.2402
MEM 29.585938 1524473657.3407
MEM 29.585938 1524473657.4412
