CMDLINE /home/msys/venvs/flaskproj/bin/python3 mongo.py
MEM 1.277344 1524465356.5473
MEM 18.593750 1524465356.6476
MEM 29.359375 1524465356.7479
MEM 29.500000 1524465356.8482
MEM 29.500000 1524465356.9485
MEM 29.500000 1524465357.0489
MEM 29.500000 1524465357.1492
MEM 29.519531 1524465357.2496
MEM 29.519531 1524465357.3500
MEM 29.519531 1524465357.4504
MEM 29.519531 1524465357.5508
MEM 29.519531 1524465357.6513
MEM 29.539062 1524465357.7516
MEM 29.539062 1524465357.8520
MEM 29.539062 1524465357.9524
MEM 29.539062 1524465358.0528
MEM 29.539062 1524465358.1532
MEM 29.539062 1524465358.2537
MEM 29.539062 1524465358.3540
MEM 29.539062 1524465358.4544
MEM 29.539062 1524465358.5549
MEM 29.539062 1524465358.6553
MEM 29.539062 1524465358.7557
MEM 29.539062 1524465358.8561
MEM 29.539062 1524465358.9565
MEM 29.539062 1524465359.0569
MEM 29.539062 1524465359.1572
MEM 29.539062 1524465359.2576
MEM 29.539062 1524465359.3581
MEM 29.539062 1524465359.4586
MEM 29.539062 1524465359.5590
MEM 29.539062 1524465359.6594
MEM 29.539062 1524465359.7598
MEM 29.539062 1524465359.8602
MEM 29.539062 1524465359.9605
MEM 29.539062 1524465360.0610
MEM 29.539062 1524465360.1615
MEM 29.539062 1524465360.2619
MEM 29.539062 1524465360.3623
MEM 29.539062 1524465360.4627
MEM 29.539062 1524465360.5632
MEM 29.539062 1524465360.6636
MEM 29.539062 1524465360.7640
MEM 29.539062 1524465360.8644
MEM 29.539062 1524465360.9647
MEM 29.539062 1524465361.0651
MEM 29.539062 1524465361.1655
MEM 29.539062 1524465361.2660
MEM 29.539062 1524465361.3664
MEM 29.539062 1524465361.4667
MEM 29.539062 1524465361.5671
MEM 29.539062 1524465361.6676
MEM 29.539062 1524465361.7680
MEM 29.539062 1524465361.8684
MEM 29.539062 1524465361.9688
MEM 29.539062 1524465362.0692
MEM 29.539062 1524465362.1696
MEM 29.539062 1524465362.2700
MEM 29.539062 1524465362.3703
MEM 29.539062 1524465362.4708
MEM 29.539062 1524465362.5712
